time;code;message
2025-07-14 16:38:40;8;FAST_RISE. De 29.5% à 100.0%. Solar=304W, Injection=-2008W
2025-07-14 16:49:46;7;FAST_DROP. De 80.0% à 8.6%. Solar=1696W, Injection=1467W
